5,9600,19200,38400,57600,115200,230400,460800
10,260.42,130.21,65.10,43.40,21.70,10.85,5.43
20,520.83,260.42,130.21,86.81,43.40,21.70,10.85
30,781.25,390.63,195.31,130.21,65.10,32.55,16.28
40,1041.67,520.83,260.42,173.61,86.81,43.40,21.70
50,1302.08,651.04,325.52,217.01,108.51,54.25,27.13
60,1562.50,781.25,390.63,260.42,130.21,65.10,32.55
70,1822.92,911.46,455.73,303.82,151.91,75.95,37.98
80,2083.33,1041.67,520.83,347.22,173.61,86.81,43.40
90,2343.75,1171.88,585.94,390.63,195.31,97.66,48.83
100,2604.17,1302.08,651.04,434.03,217.01,108.51,54.25
